Q8,Q10,Q7,Q9,Q12_1,Q12_2,Q12_3,Q12_4,Q13,Q2,Q3
How much (if any) Python programming have you done before?,Have you used a Jupyter (or IPython) web-based notebook before?,Have you done any programming in other languages before?,List the names of any programming languages you have used before:,"Some questions about web development... 
Do you have experience with the following? - HTML","Some questions about web development... 
Do you have experience with the following? - CSS","Some questions about web development... 
Do you have experience with the following? - Javascript","Some questions about web development... 
Do you have experience with the following? - Markdown","Tell me a little bit about your communication interests. For instance, are you interested in political communication, health communication, social media etc. and what kinds of questions are you interested in exploring using computational text analysis?",CAUSE,PRODUCE
A little,Yes,Yes,R (if that counts),No,No,No,No,"Some questions I'm interested in exploring that are directly relevant to my postdoc at the Wharton Risk Center (i.e. would make the faculty directors happy):

 - What does the news media talk about before, during, and/or after a hurricane?
 - What do individuals in hurricane-prone regions tweet about before, during, and/or after a hurricane?
 - How do these conversations differ?

Some other questions I'm interested in:

 - How does the language teens use to communicate with friends on social media reflect the strength, depth and/or character of these relationships?
 - How does language produced by teens on social media associate with health beliefs and/or behaviors?
","Oh geez, this definition thing is tricky. I'll at least use it in a sentence:

The FDA's announcement of their e-cigarette deeming regulation caused increased media coverage of e-cigarette regulations.","Efforts to curb youth e-cigarette use through mass media campaigns have not produced measurable effects. 

(Now realizing I never use this word in manuscripts.)"
None at all,No,No,,No,No,No,No,"I am interested in social media communication. One day I would love to be involved in media production of some sort. I thought this class was extremely appealing, and after talking to a Communications mentor, was told it would be very interesting and helpful. I am trying to branch out a bit from my media effects type classes and become a bit more hands-on. ","As in a chain reaction, this word means one event happened solely because another happened. One thing is responsible for another. ","A by-product of; this word means one thing created something else. In the context of say a producer for videos, that person helped create the visual before you. Something that is ""produced"" was made from something else. "
None at all,No,No,,No,No,No,No,"I am interested in taking this course because of the vast range of ways in which communication tactics can persuade an online audience especially.  The majority of marketing a ad campaigns take place in a digital setting, so I am hoping that this course offers critiques of communication strategiesi in a digital setting. ",smoking cigarettes can cause cancer. ,Jarred Goff has the chance to produce a superbowl title for the Los Angeles Rams.
None at all,No,Yes,R,No,No,Yes,No,"I'm interested in political communication and media effects. For example, it would be interesting to analyze how the rhetoric of female Republican politicians changed since the 2016 election and especially those who self-proclaimed as feminists. Another example would be analyzing people's reactions on twitter or other social media to PR campaigns by major businesses and analyze whether those marketing campaigns were able to instill their targeted image in people's minds. ","Zeek let's say you're running away from a bigger alien, and you run into a stairway. You run downstairs to run away from the alien. Now, your fear of the alien caused you to run away from him, and your intention to do so produced your physical movements that allowed you to go downstairs. ","Zeek, let's say we have a hen that just laid eggs. That hen produced the eggs, but one hen cannot cause production of eggs because you need two chicken for the hen to be pregnant. So one hen produces eggs but one hen alone cannot cause production of eggs. "
A moderate amount,No,No,,Yes,No,No,No,"I'm interested in social media, political communication, finance, and how different groups communicate/express themselves to name a few. For instance, the example given in the syllabus (how men and women talk about love) is something that really interests me - I would love to learn how to extract that type of information from large bodies of text. I also want to know which types of questions computational text analysis answers best.","to make something happen. 

For example, this medication can cause severe nausea.","to make something come into existence.

Company XYZ has just produced a new drug to treat blindness."
None at all,No,Yes,I used very basics of R last semester in Comm310 with Professor Falk,No,No,No,No,"I am interested in how association with various identities influences behaviors, health communication, and potentially the role of social media in the middle east.",to influence something to occur,to be actively involved in the creation of something/a result. 
A moderate amount,Yes,Yes,"JavaScript, Swift, ObjC, MATLAB, and a bit of Java",Yes,Yes,Yes,Yes,"Interested in health communication and w.r.t computational text analysis, am interested in answering questions like ""what are adverse drug interactions?"" and just generally entity recognition. I am also interested in better understanding how to analyze text in the context of social media with the ultimate goal of trend prediction (I'm guessing this relates somewhat to sentiment analysis).","the reason for something
",to create
None at all,No,Yes,R,No,No,No,No,I’m interested in health communication and social media,To make something happen,To create something
A little,No,Yes,R and SQL,No,No,No,No,"As a student concentrating in Marketing and Business Analytics, my primary interest would be applications of text analysis for social media. I think it could unlock a lot of potential for me and give me an analytical edge. Additionally, I want to broaden my horizons and think this course is an excellent way to do so.","""Cause"" indicates that one event or condition led to something else occurring, but does not necessarily mean that it directly constructed the second event. We gauge causation by correlation and chronological occurrence.

Example: An icy road was the cause of the accident.","""Produce"" indicates that one event directly manufactured a second event.

Example: Moisture and cold temperature produced ice on the road."
